START --> Producator - Consumator
Producatorul 3 a produs elementul 2
Producatorul 2 a produs elementul 1
Producatorul 1 a produs elementul 0
Producatorul 2 a produs elementul 11
Producatorul 3 a produs elementul 12
Producatorul 4 a produs elementul 3
Consumatorul 2 a consumat elementul 1
Producatorul 2 a produs elementul 21
Consumatorul 1 a consumat elementul 0
Consumatorul 5 a consumat elementul 3
Consumatorul 4 a consumat elementul 11
Producatorul 2 a produs elementul 31
Producatorul 4 a produs elementul 13
Consumatorul 2 a consumat elementul 12
Consumatorul 2 a consumat elementul 31
Consumatorul 3 a consumat elementul 2
Consumatorul 3 a consumat elementul 5
Producatorul 5 a produs elementul 4
Consumatorul 3 a consumat elementul 8
Producatorul 8 a produs elementul 7
Producatorul 7 a produs elementul 6
Consumatorul 2 a consumat elementul 10
Consumatorul 2 a consumat elementul 22
Producatorul 4 a produs elementul 23
Producatorul 3 a produs elementul 22
Producatorul 10 a produs elementul 9
Consumatorul 4 a consumat elementul 13
Producatorul 9 a produs elementul 8
Consumatorul 5 a consumat elementul 4
Producatorul 6 a produs elementul 5
Producatorul 1 a produs elementul 10
Consumatorul 1 a consumat elementul 21
Consumatorul 5 a consumat elementul 7
Producatorul 10 a produs elementul 19
Producatorul 8 a produs elementul 17
Consumatorul 4 a consumat elementul 6
Consumatorul 2 a consumat elementul 23
Producatorul 7 a produs elementul 16
Producatorul 5 a produs elementul 14
Consumatorul 3 a consumat elementul 9
Producatorul 2 a produs elementul 41
Producatorul 3 a produs elementul 32
Consumatorul 3 a consumat elementul 19
Producatorul 8 a produs elementul 27
Consumatorul 2 a consumat elementul 17
Producatorul 4 a produs elementul 33
Consumatorul 4 a consumat elementul 16
Producatorul 1 a produs elementul 20
Consumatorul 5 a consumat elementul 14
Producatorul 9 a produs elementul 18
Consumatorul 1 a consumat elementul 41
Producatorul 4 a produs elementul 43
Consumatorul 5 a consumat elementul 27
Producatorul 8 a produs elementul 37
Consumatorul 4 a consumat elementul 33
Consumatorul 2 a consumat elementul 20
Producatorul 3 a produs elementul 42
Producatorul 5 a produs elementul 24
Consumatorul 3 a consumat elementul 18
Consumatorul 3 a consumat elementul 43
Consumatorul 3 a consumat elementul 30
Producatorul 8 a produs elementul 47
Consumatorul 2 a consumat elementul 37
Consumatorul 4 a consumat elementul 42
Consumatorul 4 a consumat elementul 47
Producatorul 7 a produs elementul 26
Producatorul 7 a produs elementul 36
Producatorul 7 a produs elementul 46
Producatorul 6 a produs elementul 15
Consumatorul 5 a consumat elementul 24
Consumatorul 5 a consumat elementul 34
Producatorul 1 a produs elementul 30
Consumatorul 1 a consumat elementul 32
Consumatorul 1 a consumat elementul 36
Producatorul 1 a produs elementul 40
Consumatorul 5 a consumat elementul 28
Producatorul 6 a produs elementul 25
Consumatorul 4 a consumat elementul 29
Consumatorul 2 a consumat elementul 26
Producatorul 9 a produs elementul 28
Consumatorul 3 a consumat elementul 15
Consumatorul 3 a consumat elementul 35
Producatorul 5 a produs elementul 34
Producatorul 10 a produs elementul 29
Producatorul 5 a produs elementul 44
Producatorul 9 a produs elementul 38
Consumatorul 4 a consumat elementul 40
Producatorul 6 a produs elementul 35
Consumatorul 5 a consumat elementul 25
Consumatorul 5 a consumat elementul 44
Consumatorul 1 a consumat elementul 46
Producatorul 6 a produs elementul 45
Consumatorul 4 a consumat elementul 38
Producatorul 9 a produs elementul 48
Producatorul 10 a produs elementul 39
Consumatorul 1 a consumat elementul 39
Producatorul 10 a produs elementul 49
Consumatorul 1 a consumat elementul 48
Consumatorul 1 a consumat elementul 45
Consumatorul 1 a consumat elementul 49
Producatorul 1 a produs 5 elemente.
Producatorul 2 a produs 5 elemente.
Producatorul 3 a produs 5 elemente.
Producatorul 4 a produs 5 elemente.
Producatorul 5 a produs 5 elemente.
Producatorul 6 a produs 5 elemente.
Producatorul 7 a produs 5 elemente.
Producatorul 8 a produs 5 elemente.
Producatorul 9 a produs 5 elemente.
Producatorul 10 a produs 5 elemente.
Consumatorul 1 a consumat 10 elemente.
Consumatorul 2 a consumat 10 elemente.
Consumatorul 3 a consumat 10 elemente.
Consumatorul 4 a consumat 10 elemente.
Consumatorul 5 a consumat 10 elemente.
STOP --> Producator - Consumator
